-4.7060792E-05,-4.7060792E-05,-4.7060792E-05,-4.7060792E-05,-4.7060792E-05
-4.6892792E-05,-4.6899792E-05,-4.6892792E-05,-4.6892792E-05,-4.6892792E-05
-4.6738792E-05,-4.6745792E-05,-4.6745792E-05,-4.6745792E-05,-4.6745792E-05
-4.6591792E-05,-4.6591792E-05,-4.6591792E-05,-4.6591792E-05,-4.6591792E-05
-4.6437796E-05,-4.6437796E-05,-4.6444792E-05,-4.6437796E-05,-4.6437796E-05
-4.6290796E-05,-4.6290796E-05,-4.6290796E-05,-4.6290796E-05,-4.6290796E-05
-4.6136796E-05,-4.6136796E-05,-4.6136796E-05,-4.6136796E-05,-4.6136796E-05
-4.5982796E-05,-4.5982796E-05,-4.5989796E-05,-4.5989796E-05,-4.5989796E-05
-4.5835796E-05,-4.5828796E-05,-4.5835796E-05,-4.5835796E-05,-4.5835796E-05
-4.5681796E-05,-4.5681796E-05,-4.5681796E-05,-4.5681796E-05,-4.5681796E-05
-4.5534796E-05,-4.5534796E-05,-4.5534796E-05,-4.5534796E-05,-4.5534796E-05
-4.53738E-05,-4.53738E-05,-4.5380796E-05,-4.5380796E-05,-4.5380796E-05
-4.52268E-05,-4.52198E-05,-4.52268E-05,-4.52198E-05,-4.52268E-05
-4.50728E-05,-4.50728E-05,-4.50798E-05,-4.50728E-05,-4.50728E-05
-4.49188E-05,-4.49258E-05,-4.49258E-05,-4.49258E-05,-4.49188E-05
-4.47648E-05,-4.47718E-05,-4.47718E-05,-4.47718E-05,-4.47718E-05
-4.46178E-05,-4.46178E-05,-4.46178E-05,-4.46178E-05,-4.46178E-05
-4.44708E-05,-4.44638E-05,-4.44708E-05,-4.44708E-05,-4.44638E-05
-4.43168E-05,-4.4309804E-05,-4.43168E-05,-4.4309804E-05,-4.43168E-05
-4.4162804E-05,-4.4162804E-05,-4.4162804E-05,-4.4162804E-05,-4.4162804E-05
-4.4008804E-05,-4.4008804E-05,-4.4015804E-05,-4.4008804E-05,-4.4015804E-05
-4.3861804E-05,-4.3861804E-05,-4.3861804E-05,-4.3861804E-05,-4.3861804E-05
-4.3707804E-05,-4.3714804E-05,-4.3707804E-05,-4.3707804E-05,-4.3707804E-05
-4.3553804E-05,-4.3560804E-05,-4.3560804E-05,-4.3560804E-05,-4.3553804E-05
-4.3406804E-05,-4.3406804E-05,-4.3406804E-05,-4.3406804E-05,-4.3406804E-05
-4.3252804E-05,-4.3259804E-05,-4.3252804E-05,-4.3259804E-05,-4.3252804E-05
-4.3105808E-05,-4.3105808E-05,-4.3105808E-05,-4.3098808E-05,-4.3105808E-05
-4.2951808E-05,-4.2951808E-05,-4.2951808E-05,-4.2951808E-05,-4.2951808E-05
-4.2797808E-05,-4.2797808E-05,-4.2797808E-05,-4.2797808E-05,-4.2804812E-05
-4.2650812E-05,-4.2650812E-05,-4.2650812E-05,-4.2650812E-05,-4.2650812E-05
-4.2503812E-05,-4.2496812E-05,-4.2503812E-05,-4.2496812E-05,-4.2496812E-05
-4.2349812E-05,-4.2349812E-05,-4.2349812E-05,-4.2349812E-05,-4.2342808E-05
